,y_original,RegMult,KNN_temperatura,KNN_vacuo,KNN,ElasticNet
2521,0.710645526613817,0.6540331453400201,0.6282842582106459,0.7354190260475659,0.706681766704417,0.6389532423733743
8255,0.35673839184597966,0.35959006373402747,0.32296149490373766,0.40348244620611595,0.35673839184597966,0.35892095866716944
5613,0.09895243488108729,0.12403494878410246,0.10319932049830119,0.05673839184598002,0.06264142531994542,0.14231084852045295
5095,0.9130804077010195,0.8028982936944256,0.8627972819932053,0.787117780294451,0.9130804077010195,0.7670341044266445
65,0.46177802944507373,0.49378446570647494,0.49241223103057763,0.4054077010192527,0.46177802944507373,0.47669942784135233
8075,0.29459229898074746,0.3529543200989547,0.29459229898074746,0.3473386183465463,0.29459229898074746,0.35758149913764614
5894,0.11056058890147291,0.206431600607837,0.2867497168742924,0.10738958097395238,0.1422963769133968,0.21328020379595003
8575,0.23924122310305762,0.3223403172538357,0.3248867497168746,0.2078425821064558,0.3014061986489465,0.31728411371773235
6727,0.7450453001132509,0.666408448459092,0.6574178935447339,0.7795866364665913,0.7442193849265595,0.6488326918606437
7962,0.12046998867497205,0.08052112079529578,0.05978671196677995,0.10614382785956984,0.12046998867497205,0.09998270174111934
8753,0.728057757644395,0.6869623215188291,0.7243063420158555,0.5819365798414499,0.728057757644395,0.6643719858539369
8073,0.19861268403171017,0.18488210014852413,0.12355605889014712,0.2778312570781429,0.19861268403171017,0.20388633080241758
7734,0.5881936579841458,0.602785455752447,0.6102774631936588,0.5425821064552665,0.6198355982345455,0.5903247560427085
8359,0.06370328425821103,0.13318103209820883,0.13445639864099662,0.14487542468856204,0.06370328425821103,0.14685261689826257
698,0.17440543601358982,0.15872132560613622,0.1960362400906009,0.149377123442809,0.08794439709949796,0.16550393419454645
3922,0.705124575311439,0.6777999421200666,0.720158550396375,0.798329558323896,0.7689310815487334,0.6603895887174072
2572,0.5014156285390721,0.48409365847094343,0.5320215175537942,0.5911381653454137,0.49047512317433134,0.47420008076203735
648,0.6574178935447339,0.6747423532825068,0.6574178935447339,0.4570215175537943,0.6574178935447339,0.6585039178139462
8236,0.427802944507361,0.3955402302639118,0.4078708946772368,0.4304643261608156,0.427802944507361,0.4045433653052902
3512,0.7369762174405441,0.6450469253043505,0.6018544733861835,0.743799546998868,0.5875949593924866,0.6305490139107442
464,0.13448471121177796,0.07661680839165538,0.14043035107587754,0.11930917327293322,0.13448471121177796,0.10116241186039332
1343,0.2920441676104195,0.2394913311243892,0.23301245753114444,0.2590883352208385,0.2920441676104195,0.25656034734762156
211,0.5486976217440542,0.5224951754774878,0.5486976217440542,0.6692242355605893,0.5486976217440542,0.5217997765576066
3147,0.14849943374858476,0.16928520318829987,0.14401661004152544,0.15956964892412256,0.09059195560615414,0.1790641063456102
7232,0.018969422423555926,0.003571321515282222,0.05492638731596866,0.07222536806342035,0.018969422423555926,0.03338253916367251
2829,0.2818516421291051,0.4068733070535377,0.42440543601359043,0.3078992072480181,0.3655633434594294,0.41241820678956753
7188,0.7304643261608161,0.7516008573563469,0.7304643261608161,0.6922423556058895,0.7304643261608161,0.7237692853422908
11246,0.19507361268403134,0.21071929257439523,0.18782559456398645,0.3112400906002268,0.21041045372403888,0.23184556558820857
817,0.5111834654586644,0.6510109600743862,0.6282842582106459,0.5496885617214046,0.5111834654586644,0.6354460945001987
5237,0.3853340883352203,0.30901207985290535,0.3637103624009057,0.40353907134767886,0.29070377863713937,0.3153344761623412
1741,0.16959229898074835,0.24676986135433698,0.2615727633069087,0.13737259343148356,0.16959229898074835,0.25127264029014695
4163,0.5542185730464331,0.5213049038110836,0.45774348810872056,0.5486693091732734,0.5542185730464331,0.5191896550091677
6182,0.038929784824461855,0.011019765719561814,0.08295583238957897,0.1063137032842583,0.07868220778057886,0.0389179493571411
10384,0.3374858437146093,0.36756516852949295,0.26163646659116646,0.39453567383918475,0.3374858437146093,0.382126869769454
4324,0.4725368063420161,0.45351276987365186,0.501203284258211,0.39898074745186884,0.4725368063420161,0.4421093610990017
8941,0.7262174405436017,0.6576612828010416,0.6483012457531148,0.6430351075877695,0.6951719875729783,0.6435972898333866
4051,0.5917327293318237,0.649644242879377,0.6863321064552665,0.6408550396375992,0.6448881127576499,0.6384863221186843
11432,0.6448187995469992,0.655980798272408,0.5932332955832391,0.787117780294451,0.6448187995469992,0.6403460068852934
1682,0.811721404303511,0.7859556896800288,0.8193657984144966,0.8037372593431487,0.811721404303511,0.7591552648162918
41,0.04020385050962627,0.11333479355394976,0.12953001132502795,0.05099093997735018,0.1641006983339744,0.13545963311476183
7267,0.24037372593431527,0.38109929580770546,0.22331540203850508,0.29830124575311495,0.2758314556911998,0.3908211119244257
136,0.3495186862967161,0.39826528069859923,0.33043601359003405,0.3516138165345417,0.3495186862967161,0.3881886696086967
5522,0.07035673839184575,0.07330834723499782,0.1719422423556122,0.12369762174405494,0.11404197854724438,0.1005758881518265
5776,0.6557191392978483,0.6091739467150629,0.5760546432616083,0.7174971687429222,0.6011915499044657,0.6005575186785852
10046,0.36438278595696527,0.34255863949804916,0.3185164212910534,0.4015005662514161,0.33151940903512767,0.3622155512824702
8065,0.19507361268403134,0.24628774628192604,0.19459229898074729,0.2387032842582107,0.28664859129965875,0.2621342371909384
7282,0.14453567383918475,0.17780107584052787,0.19825877689694238,0.34130804077010224,0.22707555697591567,0.20564440199985112
8687,0.7432049830124576,0.7319082869542728,0.7575736126840318,0.7702718006795019,0.7432049830124576,0.7119763461299273
878,0.4949037372593432,0.47447194138619003,0.43032276330690883,0.5018120045300115,0.4949037372593432,0.47582888678823787
7192,0.28595696489241273,0.39841546460212734,0.3041477916194797,0.3135900339750851,0.28595696489241273,0.4143133721908091
4519,0.5566251415628543,0.5075010828920159,0.4424782936957345,0.6056058890147229,0.5566251415628543,0.5116281479367008
97,0.9043035107587771,0.8597653252896619,0.9100064714447503,0.8930917327293322,0.9468437611148813,0.8197982401388874
1495,0.15430351075877713,0.20899587901504152,0.2867497168742924,0.12667044167610406,0.15430351075877713,0.2162559656277354
6789,0.1888448471121178,0.23840302794358806,0.13108720271800678,0.2214609286523217,0.27056994386025096,0.2557311185813147
8239,0.16888448471121187,0.3160728520115828,0.2777463193657992,0.27119903737259365,0.3143201828537917,0.3195525820566387
1656,0.6929501698754246,0.7157354544783628,0.7279161947904869,0.7653171007927522,0.6929501698754246,0.6959551401711399
9993,0.29558323895809746,0.3012557772857405,0.3217440543601361,0.28357870894677273,0.29558323895809746,0.30127356858716037
5066,0.4575311438278602,0.4882993479357053,0.4575311438278602,0.39453567383918475,0.4575311438278602,0.48623689052125735
3119,0.6235843714609288,0.7054839636547716,0.7882219705549272,0.6601642129105325,0.7636973434730592,0.6830466238696893
2582,0.2593431483578712,0.23275728890286385,0.27389580973952443,0.28187995469988714,0.2593431483578712,0.2492517070263398
4106,0.7287655719139305,0.6379580893720476,0.6663835409588529,0.7119762174405441,0.6754372333956662,0.6195758089669074
5077,0.5601642129105322,0.5583479019174563,0.5086353340883356,0.5489807474518689,0.5601642129105322,0.5577674488814964
5165,0.40062287655719153,0.33668738101425766,0.27185730464326185,0.42545300113250323,0.294950842271786,0.3407282326169113
1179,0.5591732729331831,0.5400043720506833,0.5591732729331831,0.6199037372593436,0.5591732729331831,0.5378537985749614
3800,1.0,0.8219966795900812,1.0,0.9631370328425823,1.0,0.7850046143429905
7286,0.8493771234428094,0.7919124349042734,0.8797392781525427,0.7801245753114389,0.8602322381611347,0.7606464775039139
703,0.5331257078142695,0.4983454709605294,0.44068516421291104,0.5819365798414499,0.42536769344134007,0.5017262104625653
8157,0.5703567383918466,0.6586827349026535,0.6209796149490376,0.4532842582106458,0.6051842167530425,0.6422526666886718
4653,0.45498301245753137,0.49246549210338525,0.5275339750849377,0.4539637599094,0.45498301245753137,0.48297561309929465
11071,0.32998301245753137,0.2725415832760708,0.2488391845979617,0.30679501698754275,0.22468341739832934,0.2826978778818813
10249,0.7572197055492644,0.7364031139651813,0.8267270668176674,0.76050396375991,0.7639975337588207,0.7088073533162977
1243,0.2804360135900339,0.24536326244422405,0.2217157417893544,0.19130804077010222,0.2804360135900339,0.25202574248936005
6360,0.21347678369195933,0.30385931482451467,0.2283054926387318,0.21350509626274103,0.21347678369195933,0.3207759354409524
2721,0.3931200453001136,0.3919717045887977,0.3900528501321257,0.3283408833522087,0.3931200453001136,0.38688485793338134
9600,0.6480747451868627,0.7033402356279939,0.6810117025292565,0.6212344280860703,0.6480747451868627,0.679040906013691
10472,0.08040770101925254,0.04918394534156037,0.07361268403171017,0.12794450736126847,0.1167228455112599,0.07597771167239309
4712,0.4440826727066822,0.3331474914437935,0.4097961494903739,0.16140996602491525,0.4440826727066822,0.32736778861289373
1756,0.31540203850509574,0.31831997935152484,0.3414024160060401,0.23530577576443967,0.26904020127471195,0.31919660349064805
1163,0.36778029445073646,0.3431303830360692,0.30022650056625133,0.34130804077010224,0.32370034166065487,0.34827741255463895
7140,0.44125141562853987,0.44939132198227516,0.46078708946772373,0.39898074745186884,0.4408186847472566,0.43855540456731357
1590,0.25084937712344235,0.23084222813978847,0.1842015855039639,0.30679501698754275,0.25084937712344235,0.24674020003186092
7588,0.30535107587768984,0.1803055568013316,0.13993488108720276,0.29971687429218596,0.30535107587768984,0.1992982537421848
10711,0.7272083805209517,0.7022727066750267,0.7410815402038506,0.7713759909399777,0.759437523593809,0.681560908395091
10024,0.2185730464326161,0.2322025142855433,0.20696489241223137,0.15481313703284272,0.2185730464326161,0.23660855098907063
9690,0.10574745186862966,0.1586760569988085,0.1708663646659117,0.1712627406568517,0.10574745186862966,0.17477620382984527
6504,0.40515288788222037,0.3319998626425972,0.2827859569648927,0.4331540203850516,0.36107386908946615,0.33832450191765895
3657,0.5736126840317102,0.5494535494189848,0.4996107021517555,0.5361834654586637,0.5736126840317102,0.5482409797863205
4314,0.5506795016987542,0.6562853231541645,0.6668318233295589,0.5533408833522087,0.5506795016987542,0.6400488305147225
5880,0.6381653454133636,0.6503701263855879,0.6105322763306911,0.6450453001132507,0.6247540854861657,0.6452560801225145
10511,0.2497168742921856,0.34310083818237314,0.3520385050962627,0.19244054360135915,0.2497168742921856,0.3594473466303062
5636,0.3171007927519822,0.33722338456233014,0.30022650056625133,0.3207531143827863,0.31961746571033106,0.3414225326207049
9287,0.2817100792751983,0.18501132416372493,0.16980464326160805,0.2525764439411102,0.2817100792751983,0.20432543223547472
2639,0.9187429218573051,0.8676045391076692,0.9187429218573051,0.7001981879954704,0.9187429218573051,0.8249197023035482
11399,0.3131370328425822,0.1897606431403724,0.25184031710079324,0.29971687429218596,0.2409228742392907,0.20745144813841032
11177,0.3057757644394119,0.2559906576244483,0.20215175537938856,0.1073612684031712,0.3057757644394119,0.25893709279916244
7307,0.2563703284258212,0.29646485960091573,0.2212627406568517,0.21039071347678426,0.29161535269168226,0.3032315343098968
5063,0.6984711211778034,0.6538148651902348,0.6483012457531148,0.7498301245753115,0.6202762689756691,0.6391336470857086
5608,0.28963759909399744,0.35414154444974233,0.3434597961494907,0.3516138165345417,0.32958953343821284,0.3501404290929774
9022,0.1466591166477924,0.18137537507839702,0.2308890147225373,0.10614382785956984,0.1466591166477924,0.18695010863419215
6909,0.18530577576443896,0.22889324488485824,0.26084371460928646,0.10614382785956984,0.18636976677652103,0.22792513688188987
9464,0.648357870894678,0.6555467632099383,0.5853624009060026,0.6835220838052096,0.6368722014463248,0.6414325996636314
10116,0.12556625141562883,0.21300497130689847,0.2080266138165352,0.13043601359003426,0.17053659240295896,0.21635441380343845
4647,0.5276047565118915,0.5824892224790837,0.566817667044168,0.35104756511891305,0.5276047565118915,0.5675667745169155
10236,0.2669875424688568,0.3050493003254066,0.24900906002265022,0.3078992072480181,0.2669875424688568,0.3246145748302153
9515,0.038929784824461855,0.011019765719561814,0.08295583238957897,0.1063137032842583,0.07868220778057886,0.0389179493571411
8215,0.1537372593431492,0.10576641803884679,0.1131087202718013,0.15956964892412256,0.1537372593431492,0.12429136450430012
7564,0.3278595696489237,0.4356532074803473,0.36317950169875424,0.2723103057757646,0.3278595696489237,0.4380818207691649
9824,0.6561438278595704,0.6801835830210005,0.7001981879954705,0.7180067950169882,0.6561438278595704,0.6638785794863059
1436,0.835645526613817,0.8372312071282244,0.8453661759154402,0.8391279728199326,0.835645526613817,0.8039849241162349
6624,0.07814269535673812,0.02317902776043701,0.07814269535673812,0.10795583238958102,0.07814269535673812,0.05093210475123855
6013,0.8328142695356737,0.7952981342540375,0.8476311815779545,0.7967157417893546,0.8045818396459261,0.7650814686973564
9134,0.5638448471121178,0.5912096546860515,0.6268757078142704,0.7046998867497173,0.5344826753641551,0.5834693761326853
2472,0.25481313703284325,0.30601629162033245,0.25481313703284325,0.2701868629671578,0.25481313703284325,0.3141710904625634
1640,0.19847112117780252,0.08787574455630073,0.19235560588901493,0.21398640996602508,0.19847112117780252,0.10345753353181641
